"","sd","r","power"
"1",10,2,0.125689939750557
"2",10,5,0.528926205907863
"3",10,10,0.921272031044981
"4",10,15,0.992507226383562
"5",10,20,0.999496332615227
"6",30,2,0.0125904028202863
"7",30,5,0.0267497579447121
"8",30,10,0.0666858385020146
"9",30,15,0.1218169189632
"10",30,20,0.188643229216904
"11",60,2,0.00671529193549003
"12",60,5,0.00777552030587225
"13",60,10,0.0129887760703989
"14",60,15,0.0194783697000044
"15",60,20,0.0270892321850169
