"","term","contrast","null.value","estimate","std.error","statistic","adj.p.value"
"1","Insight","BEFORE_N_SPOTS_CROSSCHECK - BEFORE_DIFF_CAT",0,135.14891993801,23.0748699289186,5.8569742908338,9.54369843375602e-07
"2","Insight","BEFORE_N_SPOTS_NOINFO - BEFORE_DIFF_CAT",0,29.9046476174179,23.0748699289186,1.29598336673352,0.952976677042425
"3","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_DIFF_CAT",0,86.9803328849342,23.0748699289186,3.76948312830687,0.00887628012309916
"4","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_DIFF_CAT",0,38.3927506831726,23.0748699289186,1.66383389381783,0.813551418192394
"5","Insight","SIMPLE_OR_DIFF_CAT - BEFORE_DIFF_CAT",0,-0.0350681356853431,23.0748699289186,-0.00151975442519804,1
"6","Insight","SIMPLE_OR_SAME_CAT - BEFORE_DIFF_CAT",0,-27.9860568742191,23.0748699289186,-1.21283703702033,0.969206344917241
"7","Insight","TRANS_ABC_FALSE - BEFORE_DIFF_CAT",0,89.5082184038584,23.0748699289186,3.87903458089192,0.00605356889774611
"8","Insight","TRANS_ABC_TRUE - BEFORE_DIFF_CAT",0,65.641575135236,23.0748699289186,2.84472134999863,0.132418659402403
"9","Insight","TRANS_SETS - BEFORE_DIFF_CAT",0,142.621984748527,23.0748699289186,6.18083591317609,2.0051779325847e-07
"10","Insight","BEFORE_N_SPOTS_NOINFO - BEFORE_N_SPOTS_CROSSCHECK",0,-105.244272320592,23.0748699289186,-4.56099092410028,0.000618230532649866
"11","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_N_SPOTS_CROSSCHECK",0,-48.1685870530759,23.0748699289186,-2.08749116252693,0.539904118277471
"12","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_N_SPOTS_CROSSCHECK",0,-96.7561692548375,23.0748699289186,-4.19314039701597,0.00192169166932599
"13","Insight","SIMPLE_OR_DIFF_CAT - BEFORE_N_SPOTS_CROSSCHECK",0,-135.183988073695,23.0748699289186,-5.858494045259,2.89388550056557e-06
"14","Insight","SIMPLE_OR_SAME_CAT - BEFORE_N_SPOTS_CROSSCHECK",0,-163.134976812229,23.0748699289186,-7.06981132785413,5.20603782305784e-10
"15","Insight","TRANS_ABC_FALSE - BEFORE_N_SPOTS_CROSSCHECK",0,-45.6407015341517,23.0748699289186,-1.97793970994187,0.615959255650579
"16","Insight","TRANS_ABC_TRUE - BEFORE_N_SPOTS_CROSSCHECK",0,-69.507344802774,23.0748699289186,-3.01225294083517,0.0864229717282036
"17","Insight","TRANS_SETS - BEFORE_N_SPOTS_CROSSCHECK",0,7.4730648105168,23.0748699289186,0.323861622342286,0.999999271881816
"18","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_N_SPOTS_NOINFO",0,57.0756852675162,23.0748699289186,2.47349976157335,0.291543548045303
"19","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_N_SPOTS_NOINFO",0,8.48810306575462,23.0748699289186,0.367850527084311,0.999997788876965
"20","Insight","SIMPLE_OR_DIFF_CAT - BEFORE_N_SPOTS_NOINFO",0,-29.9397157531033,23.0748699289186,-1.29750312115872,0.952640454908811
"21","Insight","SIMPLE_OR_SAME_CAT - BEFORE_N_SPOTS_NOINFO",0,-57.890704491637,23.0748699289186,-2.50882040375384,0.273424839244489
"22","Insight","TRANS_ABC_FALSE - BEFORE_N_SPOTS_NOINFO",0,59.6035707864405,23.0748699289186,2.58305121415841,0.235311787635185
"23","Insight","TRANS_ABC_TRUE - BEFORE_N_SPOTS_NOINFO",0,35.7369275178181,23.0748699289186,1.54873798326511,0.869814324654093
"24","Insight","TRANS_SETS - BEFORE_N_SPOTS_NOINFO",0,112.717337131109,23.0748699289186,4.88485254644256,9.43095706837926e-05
"25","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_N_SPOTS_SHIFT",0,-48.5875822017616,23.0748699289186,-2.10564923448904,0.527023331460069
