"","term","contrast","null.value","estimate","std.error","statistic","adj.p.value"
"1","Insight","BEFORE_DIFF_CAT - APPLY_BEFORE_UNDEFINED_SPOTS",0,96.8477675848747,36.7779465884665,2.63331089874512,0.33319378691228
"2","Insight","BEFORE_N_SPOTS_CROSSCHECK - APPLY_BEFORE_UNDEFINED_SPOTS",0,158.610674018912,36.7779465884666,4.31265714189307,0.0295127501168986
"3","Insight","BEFORE_N_SPOTS_NOINFO - APPLY_BEFORE_UNDEFINED_SPOTS",0,58.0076009388731,36.7779465884666,1.57723870742322,0.863394654252622
"4","Insight","BEFORE_N_SPOTS_SHIFT - APPLY_BEFORE_UNDEFINED_SPOTS",0,142.934378446003,36.7779465884666,3.88641541207814,0.0561133559461342
"5","Insight","BEFORE_ONE_SPOT_NOINFO - APPLY_BEFORE_UNDEFINED_SPOTS",0,59.715046487849,36.7779465884665,1.62366450623362,0.844282724511336
"6","Insight","SIMPLE_OR_DIFF_CAT - APPLY_BEFORE_UNDEFINED_SPOTS",0,13.228225722591,36.7779465884665,0.359678202554662,0.999998669942107
"7","Insight","SIMPLE_OR_SAME_CAT - APPLY_BEFORE_UNDEFINED_SPOTS",0,38.2755655067663,36.7779465884665,1.04072056917852,0.987988475907458
"8","Insight","TRANS_ABC_FALSE - APPLY_BEFORE_UNDEFINED_SPOTS",0,118.330331890588,36.7779465884666,3.21742628033768,0.150364549824404
"9","Insight","TRANS_ABC_TRUE - APPLY_BEFORE_UNDEFINED_SPOTS",0,64.1490404968272,36.7779465884665,1.74422572349225,0.788595400155169
"10","Insight","TRANS_SETS - APPLY_BEFORE_UNDEFINED_SPOTS",0,200.345063944514,36.7779465884665,5.44742386480438,0.00545741363001662
"11","Insight","BEFORE_N_SPOTS_CROSSCHECK - BEFORE_DIFF_CAT",0,61.7629064340376,36.7779465884665,1.67934624314796,0.818694810208524
"12","Insight","BEFORE_N_SPOTS_NOINFO - BEFORE_DIFF_CAT",0,-38.8401666460015,36.7779465884665,-1.0560721913219,0.986766037365874
"13","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_DIFF_CAT",0,46.0866108611286,36.7779465884665,1.25310451333303,0.960019183539266
