"","term","contrast","null.value","estimate","std.error","statistic","adj.p.value"
"1","Insight","BEFORE_N_SPOTS_CROSSCHECK - BEFORE_DIFF_CAT",0,86.3207906931374,31.1889114302422,2.76767564928338,0.182275905728803
"2","Insight","BEFORE_N_SPOTS_NOINFO - BEFORE_DIFF_CAT",0,30.1298396632545,31.1889114302422,0.966043323783312,0.992661156577324
"3","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_DIFF_CAT",0,80.2926115151112,31.1889114302422,2.57439608608,0.262634000142987
"4","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_DIFF_CAT",0,15.9016575637445,31.1889114302422,0.509849713713493,0.999953576209902
"5","Insight","SIMPLE_OR_DIFF_CAT - BEFORE_DIFF_CAT",0,-2.82672306254745,31.1889114302422,-0.0906323091419771,0.999999999989257
"6","Insight","SIMPLE_OR_SAME_CAT - BEFORE_DIFF_CAT",0,-46.3920941569071,31.1889114302422,-1.48745474046662,0.889168501313395
"7","Insight","TRANS_ABC_FALSE - BEFORE_DIFF_CAT",0,9.91942830220161,31.1889114302422,0.318043427850556,0.999999214675937
"8","Insight","TRANS_ABC_TRUE - BEFORE_DIFF_CAT",0,34.4381279886074,31.1889114302422,1.10417858172551,0.981378013954455
"9","Insight","TRANS_SETS - BEFORE_DIFF_CAT",0,104.057506777033,31.1889114302422,3.33636225200645,0.0513523364626789
"10","Insight","BEFORE_N_SPOTS_NOINFO - BEFORE_N_SPOTS_CROSSCHECK",0,-56.1909510298828,31.1889114302422,-1.80163232550006,0.730206071394812
"11","Insight","BEFORE_N_SPOTS_SHIFT - BEFORE_N_SPOTS_CROSSCHECK",0,-6.02817917802612,31.1889114302422,-0.19327956320338,0.999999990394162
"12","Insight","BEFORE_ONE_SPOT_NOINFO - BEFORE_N_SPOTS_CROSSCHECK",0,-70.4191331293929,31.1889114302422,-2.25782593556988,0.437573761905769
"13","Insight","SIMPLE_OR_DIFF_CAT - BEFORE_N_SPOTS_CROSSCHECK",0,-89.1475137556848,31.1889114302422,-2.85830795842536,0.151692188876425
"14","Insight","SIMPLE_OR_SAME_CAT - BEFORE_N_SPOTS_CROSSCHECK",0,-132.712884850044,31.1889114302422,-4.25513038974999,0.00444168170275538
