"","term","df","sumsq","meansq","statistic","p.value"
"1","Insight",10,43932.2931262047,4393.22931262047,55.4458660186542,1.28588019001027e-21
"2","Residuals",44,3486.32104853888,79.2345692849746,NA,NA
